Date,Away team,Home team
7/3/2022,Boston Red Sox,Chicago Cubs
7/3/2022,Atlanta Braves,Cincinnati Reds
7/3/2022,New York Yankees,Cleveland Guardians
7/3/2022,Arizona D'Backs,Colorado Rockies
7/3/2022,Kansas City Royals,Detroit Tigers
7/3/2022,Los Angeles Angels,Houston Astros
7/3/2022,San Diego Padres,Los Angeles Dodgers
7/3/2022,Baltimore Orioles,Minnesota Twins
7/3/2022,Texas Rangers,New York Mets
7/3/2022,St. Louis Cardinals,Philadelphia Phillies
7/3/2022,Milwaukee Brewers,Pittsburgh Pirates
7/3/2022,Oakland Athletics,Seattle Mariners
7/3/2022,Chicago White Sox,San Francisco Giants
7/3/2022,Tampa Bay Rays,Toronto Blue Jays
7/3/2022,Miami Marlins,Washington Nationals
7/4/2022,San Francisco Giants,Arizona D'Backs
7/4/2022,St. Louis Cardinals,Atlanta Braves
7/4/2022,Texas Rangers,Baltimore Orioles
7/4/2022,Tampa Bay Rays,Boston Red Sox
7/4/2022,Minnesota Twins,Chicago White Sox
7/4/2022,New York Mets,Cincinnati Reds
7/4/2022,Cleveland Guardians,Detroit Tigers
7/4/2022,Cleveland Guardians,Detroit Tigers
7/4/2022,Kansas City Royals,Houston Astros
7/4/2022,Colorado Rockies,Los Angeles Dodgers
7/4/2022,Chicago Cubs,Milwaukee Brewers
7/4/2022,Toronto Blue Jays,Oakland Athletics
7/4/2022,Seattle Mariners,San Diego Padres
7/4/2022,Miami Marlins,Washington Nationals
7/5/2022,San Francisco Giants,Arizona D'Backs
7/5/2022,St. Louis Cardinals,Atlanta Braves
7/5/2022,Texas Rangers,Baltimore Orioles
7/5/2022,Tampa Bay Rays,Boston Red Sox
7/5/2022,Minnesota Twins,Chicago White Sox
7/5/2022,New York Mets,Cincinnati Reds
7/5/2022,Cleveland Guardians,Detroit Tigers
7/5/2022,Kansas City Royals,Houston Astros
7/5/2022,Colorado Rockies,Los Angeles Dodgers
7/5/2022,Los Angeles Angels,Miami Marlins
7/5/2022,Chicago Cubs,Milwaukee Brewers
7/5/2022,Toronto Blue Jays,Oakland Athletics
7/5/2022,Washington Nationals,Philadelphia Phillies
7/5/2022,New York Yankees,Pittsburgh Pirates
7/5/2022,Seattle Mariners,San Diego Padres
7/6/2022,San Francisco Giants,Arizona D'Backs
7/6/2022,St. Louis Cardinals,Atlanta Braves
7/6/2022,Texas Rangers,Baltimore Orioles
7/6/2022,Tampa Bay Rays,Boston Red Sox
7/6/2022,Minnesota Twins,Chicago White Sox
7/6/2022,New York Mets,Cincinnati Reds
7/6/2022,Cleveland Guardians,Detroit Tigers
7/6/2022,Kansas City Royals,Houston Astros
7/6/2022,Colorado Rockies,Los Angeles Dodgers
7/6/2022,Los Angeles Angels,Miami Marlins
7/6/2022,Chicago Cubs,Milwaukee Brewers
7/6/2022,Toronto Blue Jays,Oakland Athletics
7/6/2022,Washington Nationals,Philadelphia Phillies
7/6/2022,New York Yankees,Pittsburgh Pirates
7/7/2022,Colorado Rockies,Arizona D'Backs
7/7/2022,St. Louis Cardinals,Atlanta Braves
7/7/2022,Los Angeles Angels,Baltimore Orioles
7/7/2022,New York Yankees,Boston Red Sox
7/7/2022,Detroit Tigers,Chicago White Sox
7/7/2022,Pittsburgh Pirates,Cincinnati Reds
7/7/2022,Pittsburgh Pirates,Cincinnati Reds
7/7/2022,Kansas City Royals,Houston Astros
7/7/2022,Chicago Cubs,Los Angeles Dodgers
7/7/2022,Miami Marlins,New York Mets
7/7/2022,Washington Nationals,Philadelphia Phillies
7/7/2022,San Francisco Giants,San Diego Padres
7/7/2022,Toronto Blue Jays,Seattle Mariners
7/8/2022,Colorado Rockies,Arizona D'Backs
7/8/2022,Washington Nationals,Atlanta Braves
7/8/2022,Los Angeles Angels,Baltimore Orioles
7/8/2022,New York Yankees,Boston Red Sox
7/8/2022,Detroit Tigers,Chicago White Sox
7/8/2022,Tampa Bay Rays,Cincinnati Reds
7/8/2022,Cleveland Guardians,Kansas City Royals
7/8/2022,Chicago Cubs,Los Angeles Dodgers
7/8/2022,Pittsburgh Pirates,Milwaukee Brewers
7/8/2022,Miami Marlins,New York Mets
7/8/2022,Houston Astros,Oakland Athletics
7/8/2022,San Francisco Giants,San Diego Padres
7/8/2022,Toronto Blue Jays,Seattle Mariners
7/8/2022,Philadelphia Phillies,St. Louis Cardinals
7/8/2022,Minnesota Twins,Texas Rangers
7/9/2022,Colorado Rockies,Arizona D'Backs
7/9/2022,Washington Nationals,Atlanta Braves
7/9/2022,Los Angeles Angels,Baltimore Orioles
7/9/2022,New York Yankees,Boston Red Sox
7/9/2022,Detroit Tigers,Chicago White Sox
7/9/2022,Tampa Bay Rays,Cincinnati Reds
7/9/2022,Cleveland Guardians,Kansas City Royals
7/9/2022,Chicago Cubs,Los Angeles Dodgers
7/9/2022,Pittsburgh Pirates,Milwaukee Brewers
7/9/2022,Miami Marlins,New York Mets
7/9/2022,Houston Astros,Oakland Athletics
7/9/2022,San Francisco Giants,San Diego Padres
7/9/2022,Toronto Blue Jays,Seattle Mariners
7/9/2022,Philadelphia Phillies,St. Louis Cardinals
7/9/2022,Minnesota Twins,Texas Rangers
7/10/2022,Colorado Rockies,Arizona D'Backs
7/10/2022,Washington Nationals,Atlanta Braves
7/10/2022,Los Angeles Angels,Baltimore Orioles
7/10/2022,New York Yankees,Boston Red Sox
7/10/2022,Detroit Tigers,Chicago White Sox
7/10/2022,Tampa Bay Rays,Cincinnati Reds
7/10/2022,Cleveland Guardians,Kansas City Royals
7/10/2022,Chicago Cubs,Los Angeles Dodgers
7/10/2022,Pittsburgh Pirates,Milwaukee Brewers
7/10/2022,Miami Marlins,New York Mets
7/10/2022,Houston Astros,Oakland Athletics
7/10/2022,San Francisco Giants,San Diego Padres
7/10/2022,Toronto Blue Jays,Seattle Mariners
7/10/2022,Philadelphia Phillies,St. Louis Cardinals
7/10/2022,Minnesota Twins,Texas Rangers
7/11/2022,New York Mets,Atlanta Braves
7/11/2022,Chicago White Sox,Cleveland Guardians
7/11/2022,San Diego Padres,Colorado Rockies
7/11/2022,Detroit Tigers,Kansas City Royals
7/11/2022,Detroit Tigers,Kansas City Royals
7/11/2022,Pittsburgh Pirates,Miami Marlins
7/11/2022,Arizona D'Backs,San Francisco Giants
7/11/2022,Philadelphia Phillies,St. Louis Cardinals
7/11/2022,Boston Red Sox,Tampa Bay Rays
7/11/2022,Oakland Athletics,Texas Rangers
7/12/2022,Houston Astros,Los Angeles Angels
7/12/2022,New York Mets,Atlanta Braves
7/12/2022,Baltimore Orioles,Chicago Cubs
7/12/2022,Chicago White Sox,Cleveland Guardians
7/12/2022,Chicago White Sox,Cleveland Guardians
7/12/2022,San Diego Padres,Colorado Rockies
7/12/2022,Detroit Tigers,Kansas City Royals
7/12/2022,Pittsburgh Pirates,Miami Marlins
7/12/2022,Milwaukee Brewers,Minnesota Twins
7/12/2022,Cincinnati Reds,New York Yankees
7/12/2022,Arizona D'Backs,San Francisco Giants
7/12/2022,Los Angeles Dodgers,St. Louis Cardinals
7/12/2022,Boston Red Sox,Tampa Bay Rays
7/12/2022,Oakland Athletics,Texas Rangers
7/12/2022,Philadelphia Phillies,Toronto Blue Jays
7/13/2022,Houston Astros,Los Angeles Angels
7/13/2022,New York Mets,Atlanta Braves
7/13/2022,Baltimore Orioles,Chicago Cubs
7/13/2022,Chicago White Sox,Cleveland Guardians
7/13/2022,San Diego Padres,Colorado Rockies
7/13/2022,Detroit Tigers,Kansas City Royals
7/13/2022,Pittsburgh Pirates,Miami Marlins
7/13/2022,Milwaukee Brewers,Minnesota Twins
7/13/2022,Cincinnati Reds,New York Yankees
7/13/2022,Arizona D'Backs,San Francisco Giants
7/13/2022,Los Angeles Dodgers,St. Louis Cardinals
7/13/2022,Boston Red Sox,Tampa Bay Rays
7/13/2022,Oakland Athletics,Texas Rangers
7/13/2022,Philadelphia Phillies,Toronto Blue Jays
7/13/2022,Seattle Mariners,Washington Nationals
7/13/2022,Seattle Mariners,Washington Nationals
7/14/2022,Houston Astros,Los Angeles Angels
7/14/2022,New York Mets,Chicago Cubs
7/14/2022,Detroit Tigers,Cleveland Guardians
7/14/2022,San Diego Padres,Colorado Rockies
7/14/2022,Pittsburgh Pirates,Miami Marlins
7/14/2022,Chicago White Sox,Minnesota Twins
7/14/2022,Cincinnati Reds,New York Yankees
7/14/2022,Milwaukee Brewers,San Francisco Giants
7/14/2022,Los Angeles Dodgers,St. Louis Cardinals
7/14/2022,Boston Red Sox,Tampa Bay Rays
7/14/2022,Seattle Mariners,Texas Rangers
7/14/2022,Kansas City Royals,Toronto Blue Jays
7/14/2022,Atlanta Braves,Washington Nationals
7/15/2022,Los Angeles Dodgers,Los Angeles Angels
7/15/2022,Detroit Tigers,Cleveland Guardians
7/15/2022,Pittsburgh Pirates,Colorado Rockies
7/15/2022,Oakland Athletics,Houston Astros
7/15/2022,Philadelphia Phillies,Miami Marlins
7/15/2022,Chicago White Sox,Minnesota Twins
7/15/2022,Boston Red Sox,New York Yankees
7/15/2022,Arizona D'Backs,San Diego Padres
7/15/2022,Milwaukee Brewers,San Francisco Giants
7/15/2022,Cincinnati Reds,St. Louis Cardinals
7/15/2022,Baltimore Orioles,Tampa Bay Rays
7/15/2022,Seattle Mariners,Texas Rangers
7/15/2022,Kansas City Royals,Toronto Blue Jays
7/15/2022,Atlanta Braves,Washington Nationals
7/16/2022,Los Angeles Dodgers,Los Angeles Angels
7/16/2022,New York Mets,Chicago Cubs
7/16/2022,New York Mets,Chicago Cubs
7/16/2022,Detroit Tigers,Cleveland Guardians
7/16/2022,Pittsburgh Pirates,Colorado Rockies
7/16/2022,Oakland Athletics,Houston Astros
7/16/2022,Philadelphia Phillies,Miami Marlins
7/16/2022,Chicago White Sox,Minnesota Twins
7/16/2022,Boston Red Sox,New York Yankees
7/16/2022,Arizona D'Backs,San Diego Padres
7/16/2022,Milwaukee Brewers,San Francisco Giants
7/16/2022,Cincinnati Reds,St. Louis Cardinals
7/16/2022,Baltimore Orioles,Tampa Bay Rays
7/16/2022,Seattle Mariners,Texas Rangers
7/16/2022,Kansas City Royals,Toronto Blue Jays
7/16/2022,Atlanta Braves,Washington Nationals
7/17/2022,New York Mets,Chicago Cubs
7/17/2022,Pittsburgh Pirates,Colorado Rockies
7/17/2022,Oakland Athletics,Houston Astros
7/17/2022,Philadelphia Phillies,Miami Marlins
7/17/2022,Chicago White Sox,Minnesota Twins
7/17/2022,Boston Red Sox,New York Yankees
7/17/2022,Arizona D'Backs,San Diego Padres
7/17/2022,Milwaukee Brewers,San Francisco Giants
7/17/2022,Baltimore Orioles,Tampa Bay Rays
7/17/2022,Seattle Mariners,Texas Rangers
7/17/2022,Kansas City Royals,Toronto Blue Jays
7/17/2022,Atlanta Braves,Washington Nationals
7/21/2022,New York Yankees,Houston Astros
7/21/2022,New York Yankees,Houston Astros
7/21/2022,San Francisco Giants,Los Angeles Dodgers
7/21/2022,Texas Rangers,Miami Marlins
7/21/2022,Detroit Tigers,Oakland Athletics
7/21/2022,Detroit Tigers,Oakland Athletics
7/22/2022,Washington Nationals,Arizona D'Backs
7/22/2022,Los Angeles Angels,Atlanta Braves
7/22/2022,New York Yankees,Baltimore Orioles
7/22/2022,Toronto Blue Jays,Boston Red Sox
7/22/2022,Cleveland Guardians,Chicago White Sox
7/22/2022,St. Louis Cardinals,Cincinnati Reds
7/22/2022,Tampa Bay Rays,Kansas City Royals
7/22/2022,San Francisco Giants,Los Angeles Dodgers
7/22/2022,Colorado Rockies,Milwaukee Brewers
7/22/2022,San Diego Padres,New York Mets
7/22/2022,Texas Rangers,Oakland Athletics
7/22/2022,Chicago Cubs,Philadelphia Phillies
7/22/2022,Miami Marlins,Pittsburgh Pirates
7/22/2022,Houston Astros,Seattle Mariners
7/23/2022,Washington Nationals,Arizona D'Backs
7/23/2022,Los Angeles Angels,Atlanta Braves
7/23/2022,New York Yankees,Baltimore Orioles
7/23/2022,Toronto Blue Jays,Boston Red Sox
7/23/2022,Cleveland Guardians,Chicago White Sox
7/23/2022,Cleveland Guardians,Chicago White Sox
7/23/2022,St. Louis Cardinals,Cincinnati Reds
7/23/2022,Minnesota Twins,Detroit Tigers
7/23/2022,Tampa Bay Rays,Kansas City Royals
7/23/2022,San Francisco Giants,Los Angeles Dodgers
7/23/2022,Colorado Rockies,Milwaukee Brewers
7/23/2022,San Diego Padres,New York Mets
7/23/2022,Texas Rangers,Oakland Athletics
7/23/2022,Chicago Cubs,Philadelphia Phillies
7/23/2022,Miami Marlins,Pittsburgh Pirates
7/23/2022,Houston Astros,Seattle Mariners
7/24/2022,Washington Nationals,Arizona D'Backs
7/24/2022,Los Angeles Angels,Atlanta Braves
7/24/2022,New York Yankees,Baltimore Orioles
7/24/2022,Toronto Blue Jays,Boston Red Sox
7/24/2022,Cleveland Guardians,Chicago White Sox
7/24/2022,St. Louis Cardinals,Cincinnati Reds
7/24/2022,Minnesota Twins,Detroit Tigers
7/24/2022,Tampa Bay Rays,Kansas City Royals
7/24/2022,San Francisco Giants,Los Angeles Dodgers
7/24/2022,Colorado Rockies,Milwaukee Brewers
7/24/2022,San Diego Padres,New York Mets
7/24/2022,Texas Rangers,Oakland Athletics
7/24/2022,Chicago Cubs,Philadelphia Phillies
7/24/2022,Miami Marlins,Pittsburgh Pirates
7/24/2022,Houston Astros,Seattle Mariners
7/25/2022,San Francisco Giants,Arizona D'Backs
7/25/2022,Tampa Bay Rays,Baltimore Orioles
7/25/2022,Cleveland Guardians,Boston Red Sox
7/25/2022,Pittsburgh Pirates,Chicago Cubs
7/25/2022,Miami Marlins,Cincinnati Reds
7/25/2022,San Diego Padres,Detroit Tigers
7/25/2022,Los Angeles Angels,Kansas City Royals
7/25/2022,Washington Nationals,Los Angeles Dodgers
7/25/2022,Colorado Rockies,Milwaukee Brewers
7/25/2022,Houston Astros,Oakland Athletics
7/25/2022,Atlanta Braves,Philadelphia Phillies
7/25/2022,Texas Rangers,Seattle Mariners
7/26/2022,San Francisco Giants,Arizona D'Backs
7/26/2022,Tampa Bay Rays,Baltimore Orioles
7/26/2022,Cleveland Guardians,Boston Red Sox
7/26/2022,Pittsburgh Pirates,Chicago Cubs
7/26/2022,Miami Marlins,Cincinnati Reds
7/26/2022,Chicago White Sox,Colorado Rockies
7/26/2022,San Diego Padres,Detroit Tigers
7/26/2022,Los Angeles Angels,Kansas City Royals
7/26/2022,Washington Nationals,Los Angeles Dodgers
7/26/2022,Minnesota Twins,Milwaukee Brewers
7/26/2022,New York Yankees,New York Mets
7/26/2022,Houston Astros,Oakland Athletics
7/26/2022,Atlanta Braves,Philadelphia Phillies
7/26/2022,Texas Rangers,Seattle Mariners
7/26/2022,St. Louis Cardinals,Toronto Blue Jays
7/27/2022,San Francisco Giants,Arizona D'Backs
7/27/2022,Tampa Bay Rays,Baltimore Orioles
7/27/2022,Cleveland Guardians,Boston Red Sox
7/27/2022,Miami Marlins,Cincinnati Reds
7/27/2022,Chicago White Sox,Colorado Rockies
7/27/2022,San Diego Padres,Detroit Tigers
7/27/2022,Los Angeles Angels,Kansas City Royals
7/27/2022,Washington Nationals,Los Angeles Dodgers
7/27/2022,Minnesota Twins,Milwaukee Brewers
7/27/2022,New York Yankees,New York Mets
7/27/2022,Houston Astros,Oakland Athletics
7/27/2022,Atlanta Braves,Philadelphia Phillies
7/27/2022,Texas Rangers,Seattle Mariners
7/27/2022,St. Louis Cardinals,Toronto Blue Jays
7/28/2022,Texas Rangers,Los Angeles Angels
7/28/2022,Tampa Bay Rays,Baltimore Orioles
7/28/2022,Cleveland Guardians,Boston Red Sox
7/28/2022,Miami Marlins,Cincinnati Reds
7/28/2022,Los Angeles Dodgers,Colorado Rockies
7/28/2022,Seattle Mariners,Houston Astros
7/28/2022,Kansas City Royals,New York Yankees
7/28/2022,Philadelphia Phillies,Pittsburgh Pirates
7/28/2022,Chicago Cubs,San Francisco Giants
7/28/2022,Detroit Tigers,Toronto Blue Jays
7/29/2022,Texas Rangers,Los Angeles Angels
7/29/2022,Arizona D'Backs,Atlanta Braves
7/29/2022,Milwaukee Brewers,Boston Red Sox
7/29/2022,Oakland Athletics,Chicago White Sox
7/29/2022,Baltimore Orioles,Cincinnati Reds
7/29/2022,Los Angeles Dodgers,Colorado Rockies
7/29/2022,Seattle Mariners,Houston Astros
7/29/2022,New York Mets,Miami Marlins
7/29/2022,Kansas City Royals,New York Yankees
7/29/2022,Philadelphia Phillies,Pittsburgh Pirates
7/29/2022,Minnesota Twins,San Diego Padres
7/29/2022,Chicago Cubs,San Francisco Giants
7/29/2022,Cleveland Guardians,Tampa Bay Rays
7/29/2022,Detroit Tigers,Toronto Blue Jays
7/29/2022,St. Louis Cardinals,Washington Nationals
7/30/2022,Texas Rangers,Los Angeles Angels
7/30/2022,Arizona D'Backs,Atlanta Braves
7/30/2022,Milwaukee Brewers,Boston Red Sox
7/30/2022,Oakland Athletics,Chicago White Sox
7/30/2022,Baltimore Orioles,Cincinnati Reds
7/30/2022,Los Angeles Dodgers,Colorado Rockies
7/30/2022,Seattle Mariners,Houston Astros
7/30/2022,New York Mets,Miami Marlins
7/30/2022,Kansas City Royals,New York Yankees
7/30/2022,Philadelphia Phillies,Pittsburgh Pirates
7/30/2022,Minnesota Twins,San Diego Padres
7/30/2022,Chicago Cubs,San Francisco Giants
7/30/2022,Cleveland Guardians,Tampa Bay Rays
7/30/2022,Detroit Tigers,Toronto Blue Jays
7/30/2022,St. Louis Cardinals,Washington Nationals
7/31/2022,Texas Rangers,Los Angeles Angels
7/31/2022,Arizona D'Backs,Atlanta Braves
7/31/2022,Milwaukee Brewers,Boston Red Sox
7/31/2022,Oakland Athletics,Chicago White Sox
7/31/2022,Baltimore Orioles,Cincinnati Reds
7/31/2022,Los Angeles Dodgers,Colorado Rockies
7/31/2022,Seattle Mariners,Houston Astros
7/31/2022,New York Mets,Miami Marlins
7/31/2022,Kansas City Royals,New York Yankees
7/31/2022,Philadelphia Phillies,Pittsburgh Pirates
7/31/2022,Minnesota Twins,San Diego Padres
7/31/2022,Chicago Cubs,San Francisco Giants
7/31/2022,Cleveland Guardians,Tampa Bay Rays
7/31/2022,Detroit Tigers,Toronto Blue Jays
7/31/2022,St. Louis Cardinals,Washington Nationals
8/1/2022,Kansas City Royals,Chicago White Sox
8/1/2022,Arizona D'Backs,Cleveland Guardians
8/1/2022,Boston Red Sox,Houston Astros
8/1/2022,Cincinnati Reds,Miami Marlins
8/1/2022,Detroit Tigers,Minnesota Twins
8/1/2022,Seattle Mariners,New York Yankees
8/1/2022,Colorado Rockies,San Diego Padres
8/1/2022,Los Angeles Dodgers,San Francisco Giants
8/1/2022,Baltimore Orioles,Texas Rangers
8/1/2022,New York Mets,Washington Nationals
8/2/2022,Oakland Athletics,Los Angeles Angels
8/2/2022,Philadelphia Phillies,Atlanta Braves
8/2/2022,Kansas City Royals,Chicago White Sox
8/2/2022,Arizona D'Backs,Cleveland Guardians
8/2/2022,Boston Red Sox,Houston Astros
8/2/2022,Cincinnati Reds,Miami Marlins
8/2/2022,Detroit Tigers,Minnesota Twins
8/2/2022,Seattle Mariners,New York Yankees
8/2/2022,Milwaukee Brewers,Pittsburgh Pirates
8/2/2022,Colorado Rockies,San Diego Padres
8/2/2022,Colorado Rockies,San Diego Padres
8/2/2022,Los Angeles Dodgers,San Francisco Giants
8/2/2022,Chicago Cubs,St. Louis Cardinals
8/2/2022,Toronto Blue Jays,Tampa Bay Rays
8/2/2022,Baltimore Orioles,Texas Rangers
8/2/2022,New York Mets,Washington Nationals
8/3/2022,Oakland Athletics,Los Angeles Angels
8/3/2022,Philadelphia Phillies,Atlanta Braves
8/3/2022,Kansas City Royals,Chicago White Sox
8/3/2022,Arizona D'Backs,Cleveland Guardians
8/3/2022,Boston Red Sox,Houston Astros
8/3/2022,Cincinnati Reds,Miami Marlins
8/3/2022,Detroit Tigers,Minnesota Twins
8/3/2022,Seattle Mariners,New York Yankees
8/3/2022,Milwaukee Brewers,Pittsburgh Pirates
8/3/2022,Colorado Rockies,San Diego Padres
8/3/2022,Los Angeles Dodgers,San Francisco Giants
8/3/2022,Toronto Blue Jays,Tampa Bay Rays
8/3/2022,Baltimore Orioles,Texas Rangers
8/3/2022,New York Mets,Washington Nationals
8/4/2022,Oakland Athletics,Los Angeles Angels
8/4/2022,Houston Astros,Cleveland Guardians
8/4/2022,Tampa Bay Rays,Detroit Tigers
8/4/2022,Boston Red Sox,Kansas City Royals
8/4/2022,Toronto Blue Jays,Minnesota Twins
8/4/2022,Atlanta Braves,New York Mets
8/4/2022,Washington Nationals,Philadelphia Phillies
8/4/2022,Milwaukee Brewers,Pittsburgh Pirates
8/4/2022,Colorado Rockies,San Diego Padres
8/4/2022,Los Angeles Dodgers,San Francisco Giants
8/4/2022,Chicago Cubs,St. Louis Cardinals
8/4/2022,Chicago Cubs,St. Louis Cardinals
8/4/2022,Chicago White Sox,Texas Rangers
8/5/2022,Colorado Rockies,Arizona D'Backs
8/5/2022,Pittsburgh Pirates,Baltimore Orioles
8/5/2022,Miami Marlins,Chicago Cubs
8/5/2022,Houston Astros,Cleveland Guardians
8/5/2022,Tampa Bay Rays,Detroit Tigers
8/5/2022,Boston Red Sox,Kansas City Royals
8/5/2022,San Diego Padres,Los Angeles Dodgers
8/5/2022,Cincinnati Reds,Milwaukee Brewers
8/5/2022,Toronto Blue Jays,Minnesota Twins
8/5/2022,Atlanta Braves,New York Mets
8/5/2022,Washington Nationals,Philadelphia Phillies
8/5/2022,Los Angeles Angels,Seattle Mariners
8/5/2022,New York Yankees,St. Louis Cardinals
8/5/2022,Chicago White Sox,Texas Rangers
8/6/2022,Colorado Rockies,Arizona D'Backs
8/6/2022,Pittsburgh Pirates,Baltimore Orioles
8/6/2022,Miami Marlins,Chicago Cubs
8/6/2022,Houston Astros,Cleveland Guardians
8/6/2022,Tampa Bay Rays,Detroit Tigers
8/6/2022,Boston Red Sox,Kansas City Royals
8/6/2022,San Diego Padres,Los Angeles Dodgers
8/6/2022,Cincinnati Reds,Milwaukee Brewers
8/6/2022,Toronto Blue Jays,Minnesota Twins
8/6/2022,Atlanta Braves,New York Mets
8/6/2022,Atlanta Braves,New York Mets
8/6/2022,San Francisco Giants,Oakland Athletics
8/6/2022,Washington Nationals,Philadelphia Phillies
8/6/2022,Los Angeles Angels,Seattle Mariners
8/6/2022,Los Angeles Angels,Seattle Mariners
8/6/2022,New York Yankees,St. Louis Cardinals
8/6/2022,Chicago White Sox,Texas Rangers
8/7/2022,Colorado Rockies,Arizona D'Backs
8/7/2022,Pittsburgh Pirates,Baltimore Orioles
8/7/2022,Miami Marlins,Chicago Cubs
8/7/2022,Houston Astros,Cleveland Guardians
8/7/2022,Tampa Bay Rays,Detroit Tigers
8/7/2022,Boston Red Sox,Kansas City Royals
8/7/2022,San Diego Padres,Los Angeles Dodgers
8/7/2022,Cincinnati Reds,Milwaukee Brewers
8/7/2022,Toronto Blue Jays,Minnesota Twins
8/7/2022,Atlanta Braves,New York Mets
8/7/2022,San Francisco Giants,Oakland Athletics
8/7/2022,Washington Nationals,Philadelphia Phillies
8/7/2022,Los Angeles Angels,Seattle Mariners
8/7/2022,New York Yankees,St. Louis Cardinals
8/7/2022,Chicago White Sox,Texas Rangers
8/8/2022,Pittsburgh Pirates,Arizona D'Backs
8/8/2022,Toronto Blue Jays,Baltimore Orioles
8/8/2022,Washington Nationals,Chicago Cubs
8/8/2022,Cincinnati Reds,New York Mets
8/8/2022,Los Angeles Angels,Oakland Athletics
8/8/2022,San Francisco Giants,San Diego Padres
8/8/2022,New York Yankees,Seattle Mariners
8/9/2022,Pittsburgh Pirates,Arizona D'Backs
8/9/2022,Toronto Blue Jays,Baltimore Orioles
8/9/2022,Atlanta Braves,Boston Red Sox
8/9/2022,Washington Nationals,Chicago Cubs
8/9/2022,St. Louis Cardinals,Colorado Rockies
8/9/2022,Cleveland Guardians,Detroit Tigers
8/9/2022,Texas Rangers,Houston Astros
8/9/2022,Chicago White Sox,Kansas City Royals
8/9/2022,Chicago White Sox,Kansas City Royals
8/9/2022,Minnesota Twins,Los Angeles Dodgers
8/9/2022,Tampa Bay Rays,Milwaukee Brewers
8/9/2022,Cincinnati Reds,New York Mets
8/9/2022,Los Angeles Angels,Oakland Athletics
8/9/2022,Miami Marlins,Philadelphia Phillies
8/9/2022,San Francisco Giants,San Diego Padres
8/9/2022,New York Yankees,Seattle Mariners
8/10/2022,Pittsburgh Pirates,Arizona D'Backs
8/10/2022,Atlanta Braves,Boston Red Sox
8/10/2022,Washington Nationals,Chicago Cubs
8/10/2022,St. Louis Cardinals,Colorado Rockies
8/10/2022,Cleveland Guardians,Detroit Tigers
8/10/2022,Texas Rangers,Houston Astros
8/10/2022,Chicago White Sox,Kansas City Royals
8/10/2022,Minnesota Twins,Los Angeles Dodgers
8/10/2022,Tampa Bay Rays,Milwaukee Brewers
8/10/2022,Cincinnati Reds,New York Mets
8/10/2022,Los Angeles Angels,Oakland Athletics
8/10/2022,Miami Marlins,Philadelphia Phillies
8/10/2022,San Francisco Giants,San Diego Padres
8/10/2022,New York Yankees,Seattle Mariners
8/11/2022,Pittsburgh Pirates,Arizona D'Backs
8/11/2022,Baltimore Orioles,Boston Red Sox
8/11/2022,Chicago Cubs,Cincinnati Reds
8/11/2022,St. Louis Cardinals,Colorado Rockies
8/11/2022,Cleveland Guardians,Detroit Tigers
8/11/2022,Texas Rangers,Houston Astros
8/11/2022,Chicago White Sox,Kansas City Royals
8/11/2022,Miami Marlins,Philadelphia Phillies
8/12/2022,Minnesota Twins,Los Angeles Angels
8/12/2022,New York Yankees,Boston Red Sox
8/12/2022,Detroit Tigers,Chicago White Sox
8/12/2022,Arizona D'Backs,Colorado Rockies
8/12/2022,Oakland Athletics,Houston Astros
8/12/2022,Los Angeles Dodgers,Kansas City Royals
8/12/2022,Atlanta Braves,Miami Marlins
8/12/2022,Philadelphia Phillies,New York Mets
8/12/2022,Pittsburgh Pirates,San Francisco Giants
8/12/2022,Milwaukee Brewers,St. Louis Cardinals
8/12/2022,Baltimore Orioles,Tampa Bay Rays
8/12/2022,Seattle Mariners,Texas Rangers
8/12/2022,Cleveland Guardians,Toronto Blue Jays
8/12/2022,San Diego Padres,Washington Nationals
8/13/2022,Minnesota Twins,Los Angeles Angels
8/13/2022,New York Yankees,Boston Red Sox
8/13/2022,Detroit Tigers,Chicago White Sox
8/13/2022,Chicago Cubs,Cincinnati Reds
8/13/2022,Arizona D'Backs,Colorado Rockies
8/13/2022,Oakland Athletics,Houston Astros
8/13/2022,Los Angeles Dodgers,Kansas City Royals
8/13/2022,Atlanta Braves,Miami Marlins
8/13/2022,Atlanta Braves,Miami Marlins
8/13/2022,Philadelphia Phillies,New York Mets
8/13/2022,Pittsburgh Pirates,San Francisco Giants
8/13/2022,Milwaukee Brewers,St. Louis Cardinals
8/13/2022,Baltimore Orioles,Tampa Bay Rays
8/13/2022,Seattle Mariners,Texas Rangers
8/13/2022,Cleveland Guardians,Toronto Blue Jays
8/13/2022,San Diego Padres,Washington Nationals
8/14/2022,Minnesota Twins,Los Angeles Angels
8/14/2022,New York Yankees,Boston Red Sox
8/14/2022,Detroit Tigers,Chicago White Sox
8/14/2022,Chicago Cubs,Cincinnati Reds
8/14/2022,Arizona D'Backs,Colorado Rockies
8/14/2022,Oakland Athletics,Houston Astros
8/14/2022,Los Angeles Dodgers,Kansas City Royals
8/14/2022,Atlanta Braves,Miami Marlins
8/14/2022,Philadelphia Phillies,New York Mets
8/14/2022,Pittsburgh Pirates,San Francisco Giants
8/14/2022,Milwaukee Brewers,St. Louis Cardinals
8/14/2022,Baltimore Orioles,Tampa Bay Rays
8/14/2022,Seattle Mariners,Texas Rangers
